country_iso3,gdp_per_capita,population,continent,net_barter_of_trade,landlocked,agriculture_forestry_fishing_of_gdp,industry_of_gdp,gdp_growth,langoff_1,merchandise_of_gdp,foreign_direct_investment_inflows,inflation_rate,area,gdp_us_dollar
MMR,1121.942049,51852464.0,Asia,111.240099,0,29.53372536,32.3622196,8.426001025,Burmese,40.00999753,2254603965.0,5.643038834,678500,60269734045.0
MNG,4366.089537,2881783.0,Asia,177.26127,1,13.41406247,30.50689238,11.64891619,Mongolian,84.46110672,2059702973.0,10.49065676,1565500,12582122604.0
MOZ,664.0775104,25560752.0,Africa,91.5733563,0,23.50395072,16.34875133,6.963607135,Portuguese,83.20215208,6697422432.0,4.261352509,801590,16974320551.0
MRT,1892.094,3817497.0,Africa,154.8608129,0,16.28260111,38.60977013,4.150813186,Arabic,91.78931215,1126004760.0,4.129101738,1030700,7223063170.0
MUS,9637.015729,1258653.0,Africa,105.5403196,0,3.375429985,20.6005956,3.360406103,English,68.14701192,293369157.1,3.543295739,2045,12129642296.0
MWI,348.4298737,15839287.0,Africa,98.369698,1,28.67364219,14.78394543,5.199999998,English,73.43880344,451362406.6,27.28333333,118484,5518880769.0
MYS,10970.1043,29468923.0,Asia,112.0803835,0,9.113363845,39.88537365,4.693722526,Malay,134.3206558,11296279514.0,2.105012312,329758,323277158907.0
NAM,5392.09494,2233506.0,Africa,122.1256062,0,7.821464914,26.54834346,5.614719652,English,101.7165063,777073646.4,5.600925023,825518,12011207741.0
NER,552.569139,18504287.0,Africa,191.9523584,1,32.23501073,26.04650195,5.315130636,French,35.2668557,719338470.5,2.29723115,1267000,10224897935.0
NGA,2961.549422,171765819.0,Africa,222.9305081,0,20.75862283,25.74232124,6.671335393,English,28.81010963,5562857987.0,8.475827285,923768,508692961937.0
NIC,1811.636803,6062462.0,America,253.0259447,0,16.49173204,25.38725003,4.926115047,Spanish,104.5435825,965100000.0,7.135467853,130670,10982938826.0
NLD,52184.06185,16804432.0,Europe,91.68568639,0,1.790864893,19.33416406,-0.1301752884,Dutch,143.827024,328677379048.0,2.506898527,41863,876923518850.0
NOR,102913.4508,5079623.0,Europe,159.8438855,0,1.31530621,35.63947143,1.034072914,Norwegian,47.02526582,-1368607171.0,2.120486204,323752,522761531915.0
NPL,823.3598746,26916795.0,Asia,74.02282225,1,28.62265753,13.79833756,4.128877676,Nepali,33.61578268,74179632.61,9.040163119,147181,19271168018.0
NZL,42976.64959,4442100.0,Pacific,133.1959429,0,7.03371665,20.2875516,2.628800543,English,41.42654591,-69519935.42,1.134422664,268676,190845889950.0
OMN,20865.78787,3764805.0,Asia,242.4044238,0,1.307696649,67.4689875,5.104799427,Arabic,114.3495489,1612430962.0,1.045528388,212379,78555637365.0
PAK,1208.91771,191260799.0,Asia,46.27624777,0,23.83211646,20.21693641,4.396456633,Urdu,30.17404737,1333000000.0,7.692156119,882872,231218567179.0
PAN,11889.07056,3835447.0,America,180.2139127,0,2.944524001,25.13755513,6.903272566,Spanish,82.71947965,3799000000.0,4.027159916,75648,45600000000.0
PER,6756.752996,29773986.0,America,185.6778537,0,6.668310165,33.85943675,5.852518211,Spanish,43.0126995,9826002544.0,2.806716509,1285216,201175469114.0
PHL,2871.429701,98871558.0,Asia,73.519289,0,12.4734251,30.77544663,6.750531301,English,43.11441484,3737371740.0,2.582687661,300000,283902829721.0
PLW,12561.33614,17603.0,Pacific,85.29197894,0,3.73684182,7.329913729,-3.387316396,English,79.59579807,18041109.84,3.354810042,487,221117200.0
PNG,2729.888751,7788388.0,Pacific,195.1680967,0,19.26001935,26.54078167,3.824946266,English,53.43478077,26804026.04,4.96031746,462840,21261432775.0
POL,13696.4663,38040196.0,Europe,98.40365896,0,3.091167676,28.3687491,1.125767836,Polish,79.18965866,795000000.0,0.9919826063,312685,521016262735.0
PRT,21647.04181,10457295.0,Europe,92.08986542,0,2.095482699,18.86789483,-0.9226446745,Portuguese,61.20170726,15745220666.0,0.2744166667,92389,226369502104.0
PRY,5936.975959,6510273.0,America,112.2413572,1,13.18518553,32.91257904,8.417495285,Spanish,55.87905411,312567000.0,2.683857387,406752,38585317743.0
QAT,85050.68435,2336579.0,Asia,221.158652,0,0.09602295156,71.76825132,5.556040641,Arabic,82.46915102,-840384615.4,3.221977568,11437,198727642979.0
RUS,15974.64463,143506995.0,Asia,189.6202605,0,2.993600488,28.19128918,1.755422149,Russian,37.64951243,69218890000.0,6.753710262,17075400,2292473246621.0
RWA,722.8943285,10811538.0,Africa,167.6828907,1,24.93369409,17.60116252,4.719854196,French,38.44874599,233763793.6,5.92426868,26338,7819538349.0
SAU,24845.12466,30052058.0,Asia,143.7710761,0,2.157306454,59.86247398,2.699254721,Arabic,72.86266565,8864693333.0,3.532524707,2153168,746647127408.0
SEN,1372.665779,13782429.0,Africa,107.9036097,0,13.72488038,24.29421252,2.82210565,French,48.69792993,311366768.8,0.7102454867,196722,18965572150.0
SGP,56967.42579,5399162.0,Asia,82.54986751,0,0.03442718235,23.44522298,4.837298646,English,254.6574121,64389514904.0,2.358604154,646,307576360585.0
SLE,716.8358269,6863975.0,Africa,61.0329198,0,47.98330898,21.22851294,20.71576829,English,75.13703523,429664580.1,5.51827137,73326,4920343195.0
SLV,3509.528132,6266076.0,America,82.79064662,0,5.613258533,26.12158536,2.235729888,Spanish,73.95308165,245179098.3,0.7576691845,21041,21990970000.0
STP,1564.768548,192076.0,Africa,106.3152713,0,12.03395966,15.73752108,4.814794386,Portuguese,54.89853221,12162344.82,8.105832709,964,300553785.0
SUR,9402.164419,547295.0,America,131.8043738,0,8.485954891,32.25369531,2.93344123,Dutch,89.19969378,186765030.6,1.923436041,163820,5145757576.0
SVK,18260.01577,5413393.0,Europe,90.70497352,1,2.730968179,28.7422899,0.6665350418,Slovak,169.5683394,1003901609.0,1.40047369,49036,98848641555.0
SVN,23496.6025,2059953.0,Europe,94.49271307,0,1.971225204,27.48895447,-1.029282772,Slovenian,139.2342128,104022716.6,1.769200859,20256,48401896808.0
SWE,61126.9432,9600379.0,Europe,91.64289161,0,1.466540019,22.06833913,1.187775716,Swedish,55.91949786,1316837632.0,-0.04429297015,449964,586841821797.0
SWZ,4230.328486,1086843.0,Africa,110.0499102,1,10.11543454,35.6451216,3.862271882,Swati,78.03897023,81790158.4,5.621306235,17364,4600000000.0
SYC,14765.67398,89949.0,Africa,83.74135358,0,2.667339015,12.62216628,6.018076825,English,124.9851666,57289065.62,4.338938483,455,1328157609.0
TCD,979.8117426,13220433.0,Africa,218.6156532,1,50.04519248,13.32971956,5.700001363,French,52.4953207,520200751.3,0.2226715646,1284005,12953535496.0
TGO,621.3988536,6954721.0,Africa,110.259073,0,37.51484194,17.63003733,6.112343078,French,99.29065019,183599249.0,1.825394759,56785,4321655656.0
THA,6168.261356,68144519.0,Asia,94.46624038,0,11.32221534,36.89858846,2.687495563,Thai,113.9362764,15935960665.0,2.184886185,513115,420333203150.0
TJK,1048.225602,8059782.0,Asia,83.73563893,1,21.32088785,23.11516465,7.400081256,Tajik,62.88712752,283140730.0,5.009646453,143095,8448469838.0
TKM,7304.285771,5366376.0,Asia,237.7737155,1,8.474394207,63.42771208,10.2000001,Turkmen,68.37163088,2861420712.0,6.8,488100,39197543860.0
TON,4428.146521,101768.0,Pacific,100.4373266,0,17.10784194,15.87143086,0.3123079093,Tongan,47.70954092,6269513.29,0.7756293224,748,450643615.2
TTO,20143.54541,1353708.0,America,146.3235963,0,0.7231333807,48.24558757,2.229074805,English,115.0559241,-1129966026.0,5.199817405,5130,27268478565.0
TUN,4222.70514,10952949.0,Africa,113.5096329,0,8.890289753,28.77100697,2.875523842,Arabic,89.35360065,1058622582.0,5.316235313,164150,46251061734.0
TUR,12614.78161,75925454.0,Europe,90.43068182,0,6.676108123,27.67999218,8.485817002,Turkish,44.0918236,13563000000.0,7.493090305,780576,957799371566.0
TZA,970.3996014,48483132.0,Africa,143.2200646,0,26.79086792,25.44674503,6.781585601,English,36.44878693,2087261310.0,7.870723646,945090,45680532614.0
UGA,806.6119363,35694519.0,Africa,107.1976343,1,26.15549687,24.57097183,3.586905826,English,28.57080827,1096000000.0,4.902714419,241038,28791625559.0
UKR,4029.711252,45489648.0,Europe,94.5718131,0,8.78638928,22.66963236,-0.02669789007,Ukrainian,76.98700961,4509000000.0,-0.238948626,603677,183310146378.0
URY,16973.68924,3389436.0,America,110.8299343,0,7.616200626,23.66924034,4.63753863,Spanish,35.9960995,986930050.6,8.57513504,176215,57531233351.0
USA,53106.53677,316059947.0,America,95.34050179,0,1.333513679,19.25820128,1.84208107,English,23.28679248,288131000000.0,1.464832656,9529106,16784849196000.0
UZB,2281.410973,30243200.0,Asia,168.0221988,1,29.4965853,22.58546675,7.584537849,Uzbek,36.43337923,691576226.0,11.7,447400,68997168338.0
VCT,6639.484897,108624.0,America,100.6057138,0,6.480387827,15.33488081,1.832976653,English,58.09701837,126735013.0,0.8051278043,389,721207407.4
VNM,1886.69017,90752593.0,Asia,125.9419655,0,17.96358637,33.19004024,5.421882991,Vietnamese,154.2243177,8900000000.0,6.592674759,331114,171222025117.0
WSM,4037.615168,190712.0,Pacific,78.89561431,0,9.712510781,18.23644406,-0.4188443993,Samoan,55.71271824,13791695.17,0.6100857209,2842,770021664.0
YEM,1607.152173,25147112.0,Asia,175.6305571,0,7.867396368,43.88085892,4.823414981,Arabic,53.37838472,-133570895.6,10.96844215,547244,40415235702.0
ZAF,6832.725546,53687125.0,Africa,137.5087277,0,2.097756311,26.66809154,2.4852005,English,60.6502657,8232518816.0,5.776404135,1219912,366829390479.0
ZMB,1878.346811,14926551.0,Africa,175.9968672,1,8.226523184,32.55644911,5.05723174,English,75.58875412,2099800000.0,6.977676055,752614,28045553105.0
ZWE,1429.998461,13350378.0,Africa,103.326584,1,7.144479446,23.79961521,1.989492762,English,58.26299485,373050000.0,1.634950415,390759,19091020000.0
