source,target,weight
NLD,IDN,936610.2921836076
NLD,EST,992174.752054186
NLD,BLR,279552.8760792099
NLD,SVN,890067.5627794443
NLD,ESP,15178936.339949848
NLD,GIN,460383.02082541736
NLD,OMN,630370.3001651336
NLD,KOR,6605305.710615868
NLD,SWE,10712832.63920836
NLD,KWT,596857.8857458688
NLD,CZE,7778252.581489729
NLD,UKR,939712.5423598303
NLD,CHE,6391667.314411027
NLD,FRA,40394271.53765616
NLD,TUR,6438651.380139612
NLD,THA,1153032.2703320014
NLD,ITA,19287953.13525681
NLD,MAR,1071999.8059566214
NLD,CYP,366986.1967204384
NLD,NOR,4783791.627762136
NLD,NZL,525660.1563283813
NLD,ARE,3073336.9489661106
NLD,RUS,5951803.08615104
NLD,LBY,215245.3617599852
NLD,BRA,2663544.6447124206
NLD,FIN,4925453.488263981
NLD,COL,480151.5332815
NLD,USA,21755697.6611086
NLD,TUN,302867.73650803266
NLD,LTU,1143882.0563056085
NLD,BGD,362607.55912900704
NLD,LVA,652282.4016649124
NLD,GRC,2487917.547098296
NLD,ARG,853103.1930379119
NLD,ISL,714296.3264868445
NLD,CHL,653210.591731724
NLD,CAN,3758933.7872661576
NLD,AUT,6373126.442893405
NLD,MLT,323483.4832857804
NLD,ECU,509986.9420029003
NLD,AUS,2835315.448758765
NLD,DZA,825892.1597700432
NLD,KAZ,379895.51292064687
NLD,MYS,1548721.3875965795
NLD,CIV,317158.9260986363
NLD,NGA,2813546.571093937
NLD,SEN,450748.9697813658
NLD,IND,2196735.671543461
NLD,IRL,4093903.885363881
NLD,SGP,5901963.140993509
NLD,LBN,383423.38783097407
NLD,KEN,341943.32112714404
NLD,BGR,1024167.2217371388
NLD,EGY,1286579.448513524
NLD,BEL,51492964.02677306
NLD,DEU,110555224.78743854
NLD,HUN,3816216.374085174
NLD,DNK,6443500.102730608
NLD,MEX,2489146.2869784115
NLD,PER,379999.00431108015
NLD,VNM,923893.827255529
NLD,LUX,1253437.203499159
NLD,CHN,12453156.164821044
NLD,BIH,182981.6567865304
NLD,PHL,527792.214955462
NLD,GBR,43299387.76898326
NLD,ZAF,2052384.4828278555
NLD,QAT,559095.5578651126
NLD,ISR,2488299.096704768
NLD,JPN,4045036.5363256726
NLD,TGO,751830.0349728521
NLD,PAK,1198442.720504645
NLD,PRT,3134681.1281440486
NLD,SVK,1631175.8101910462
NLD,IRQ,444030.84917233913
NLD,SAU,2816470.0450349483
NLD,JOR,529463.4386674208
MUS,FRA,332715.0930205066
MUS,USA,235424.2636831689
MUS,GBR,249533.5950029817
MUS,ZAF,187823.60371820445
SWE,IRN,503607.23916734
SWE,POL,4448328.451852781
SWE,IDN,389235.9477773197
SWE,EST,1210618.8590565391
SWE,SVN,189055.5151055401
SWE,ESP,2859953.04218866
SWE,KOR,1395431.04823734
SWE,NLD,8149023.327455342
SWE,CZE,1230491.2785871
SWE,UKR,380939.01575530006
SWE,CHE,1638967.5589590203
SWE,FRA,6181954.252013663
SWE,TUR,1576416.1467170794
SWE,THA,513948.20018898
SWE,ITA,3983319.2955813208
SWE,MAR,461092.6546819802
SWE,NOR,15417519.08545
SWE,ARE,721772.7364956401
SWE,RUS,2135082.7984668
SWE,BRA,831823.1265898396
SWE,FIN,10140856.64095588
SWE,USA,10071644.644851685
SWE,LTU,933124.4913362998
SWE,LVA,392672.9351395203
SWE,GRC,430622.1738818201
SWE,ARG,279272.74208808
SWE,ISL,373029.1403053
SWE,CHL,303647.1111747601
SWE,CAN,1172809.4200388594
SWE,AUT,1321888.3074367598
SWE,AUS,1666845.7099117
SWE,DZA,238940.34576020009
SWE,MYS,313691.4811628601
SWE,IND,1153165.3908379597
SWE,IRL,589763.9462355396
SWE,SGP,730955.8089347393
SWE,EGY,728437.6561414801
SWE,BEL,6425095.386146183
SWE,DEU,15786900.308381096
SWE,HUN,679253.3474933396
SWE,DNK,10018190.52684396
SWE,MEX,716865.4497664601
SWE,PER,195696.29498334005
SWE,VNM,242506.23479640007
SWE,CHN,6813786.548575838
SWE,GBR,9001571.265190903
SWE,ZAF,734398.6554639401
SWE,QAT,230338.38550416005
SWE,ISR,337724.72954680014
SWE,JPN,2246999.2160671595
SWE,PAK,245954.58894258004
SWE,PRT,748291.0919709598
SWE,SVK,398861.3873249199
SWE,SAU,1072962.0661751195
KWT,OMN,192434.70538659417
KWT,ARE,565808.7636741707
KWT,IND,749348.6571665588
KWT,CHN,498897.8066134384
KWT,QAT,356424.2322723072
KWT,IRQ,688677.6127594676
KWT,SAU,654392.6628518562
CMR,ESP,589996.9407897
CMR,NLD,625151.3019378
CMR,FRA,686179.8973273502
CMR,ITA,906215.23612575
CMR,IND,449331.7233711
CMR,BEL,350489.0533551
CMR,VNM,199956.38574255
CMR,CHN,788909.5485419999
CMR,PRT,225517.9334844
LAO,THA,2363288.07811
LAO,VNM,722769.1147000003
LAO,CHN,1239830.9160000002
CZE,HRV,587504.79
CZE,POL,10895248.834000008
CZE,EST,293653.9440000001
CZE,BLR,225588.137
CZE,SVN,853472.2399999999
CZE,ESP,5214162.925000001
CZE,KOR,456179.8670000002
CZE,NLD,6336729.997
CZE,SWE,2858717.816999998
CZE,UKR,1214565.742
CZE,CHE,2565855.475999999
CZE,FRA,9280116.696000002
CZE,TUR,2287336.6680000005
CZE,ITA,7393181.306000003
CZE,MAR,316829.8510000001
CZE,NOR,780607.076
CZE,ARE,837342.9540000003
CZE,RUS,3539593.043000001
CZE,BRA,281684.33199999994
CZE,FIN,1012677.225
CZE,USA,3763336.759999997
CZE,LTU,680178.7860000002
CZE,LVA,274057.404
CZE,GRC,389456.694
CZE,CAN,306378.99900000007
CZE,AUT,8003439.482000004
CZE,AUS,430243.581
CZE,KAZ,217810.739
CZE,MYS,208532.39000000007
CZE,IND,667250.5670000002
CZE,IRL,658471.5959999998
CZE,SGP,316475.523
CZE,BGR,816956.3869999998
CZE,EGY,262754.31600000005
CZE,BEL,4159947.773
CZE,DEU,59372231.86600003
CZE,HUN,5432067.033999999
CZE,DNK,1743597.1280000005
CZE,MEX,829238.222
CZE,LUX,232452.26299999995
CZE,CHN,2414363.075
CZE,GBR,9017528.621
CZE,ZAF,505241.665
CZE,ISR,1033427.7629999996
CZE,JPN,777530.0820000002
CZE,PRT,581586.6830000002
CZE,SVK,13850801.961
CZE,SAU,582093.2360000001
SWZ,ZAF,1249605.5812971755
UKR,IRN,552654.4288600001
UKR,POL,2724752.1854200005
UKR,IDN,397305.6247400002
UKR,MDA,711635.5869699997
UKR,BLR,1147828.3053900003
UKR,ESP,1260093.02305
UKR,KOR,308576.98593
UKR,NLD,1685149.8038099995
UKR,CZE,714869.2282600002
UKR,CHE,226791.49388
UKR,FRA,424219.4136599999
UKR,TUR,2512917.2177200005
UKR,ITA,2473864.7636300004
UKR,MAR,221306.00587
UKR,ARE,383624.7603599999
UKR,RUS,3939838.1041399976
UKR,LBY,207049.48439
UKR,USA,819464.2668799999
UKR,TUN,289570.14953999995
UKR,LTU,366414.25351000007
UKR,BGD,372188.38222
UKR,LVA,210220.97758
UKR,GRC,195617.3725500001
UKR,AUT,535411.78572
UKR,GEO,427746.2773199998
UKR,DZA,535267.1223099997
UKR,AZE,352455.5595500001
UKR,KAZ,368460.73053
UKR,IND,2196417.010570002
UKR,LBN,427085.71768000006
UKR,BGR,417817.03276000015
UKR,EGY,1831539.34405
UKR,BEL,456285.11894
UKR,DEU,1756192.9177099993
UKR,HUN,1328033.3579699998
UKR,DNK,189576.88330000004
UKR,CHN,1949249.94677
UKR,GBR,478157.2112900004
UKR,ISR,602358.6829599999
UKR,JPN,218009.08948
UKR,PRT,264722.34846
UKR,SVK,656107.7148200001
UKR,IRQ,479457.47370000015
UKR,SAU,511421.38125
CHE,HRV,221966.82170439124
CHE,IRN,530083.2506827558
CHE,POL,2167698.0737625263
CHE,IDN,432399.45914025867
CHE,SVN,507480.5029603518
CHE,ESP,5597493.331136929
CHE,OMN,335965.4117667029
CHE,KOR,3259613.265151517
CHE,NLD,5195043.2217225
CHE,SWE,1458840.6779661565
CHE,KWT,471657.6808254807
CHE,CZE,1665424.2088589233
CHE,UKR,303701.2812085812
CHE,FRA,16879202.703158066
CHE,TUR,5986889.790367843
CHE,THA,3592189.993511049
CHE,ITA,15642334.403070616
CHE,MAR,332262.4688643601
CHE,NOR,642290.4817989169
CHE,NZL,212111.85935815584
CHE,ARE,4078860.2166957706
CHE,RUS,2180075.852051184
CHE,BRA,2209880.130887776
CHE,FIN,695087.6328384713
