Country Name,Indicator Name,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Cameroon,GDP (current US$),12493286762,11140055364,11151578051,12434370005,11396310990,15498179313,10600157683.8412,9643953174.7735,10513387441.6194,10833497457.5123,10612847429.35,11198378749.4719,10083937740.0624,10371327756.4548,11579343088.1613,14548845764.5325,17430933517.2998,17944084201.4901,19356046327.8995,22365265025.66,26409781215.1844,26017925551.8426,26143818509.6421,29337006833.0825,29104437355.0395,32348149947.3727,34942948737.3967,30916218544.4404,32621535418.9031,34922782310.6416,38675205293
Canada,GDP (current US$),507354351180,565055743240,593929550910,610328183640,592387689250,577170761960,578139279437.61,604031623433.401,628546387972.131,652823920265.781,631813279406.808,676084000807.7,742295468318.632,736379777892.562,757950678646.53,892382413817.715,1023196771714.07,1169357979864.66,1315415197461.21,1464977190205.75,1549131208997.19,1371153004986.44,1613542812589.39,1789140665202.84,1823966686523.63,1842018420853.1,1801480123070.82,1552899925233.71,1526705529135.32,1646867220617.47,1713341704900
Cape Verde,GDP (current US$),264308140.29,267448513.11,306891107.26,319827058.59,357160985.33,490417389.68,406580652.330537,487148993.533109,501979069.274683,490608657.924976,521910560.524868,592416703.058878,539227277.626411,563024383.296626,620974660.230303,813963830.179217,924318490.7598,971977088.156914,1107891063.43863,1513933983.22398,1789333748.6799,1711817181.52969,1664310769.55229,1865915544.12446,1741809808.96442,1850470042.43281,1859898513.26858,1596800287.16405,1663008687.09505,1769787215.42141,1976814276.5
Cayman Islands,GDP (current US$),,,,,,,,,,,,,,,,,,2315972638.90556,4227798031.92128,4466503540.1416,4586172566.90268,4281813032.5213,4156935677.4271,4186223808.95236,4291159006.36025,4405954638.18553,4563017880.71523,4708336733.46934,4898908676.34705,5141833913.35653,
Central African Republic,GDP (current US$),1264899368.2,1233930277,1440711395.7,1377375030.5,1411917558.5,1278781166.7,851174350.649409,1115389731.79119,1007791186.20106,937741468.029676,967338348.658314,999477510.686632,914500299.097034,931833302.752857,991387870.12463,1139754799.16304,1270080250.65268,1337362392.15225,1460561215.4447,1697565948.65323,1985240986.18508,2059094048.26019,2140503193.16261,2434792412.50855,2510270267.72918,1691063476.64157,1892292911.82509,1695143879.57045,1823779165.27967,2067230996.47377,2219894702
Chad,GDP (current US$),1482597298.9,1433686309.8,1738605558.1,1877138041.6,1881847676.8,1463251055.4,1179837954.72193,1445919969.89272,1607345450.04578,1544689502.82472,1744794457.276,1534673583.2487,1385058161.76746,1709347793.32873,1987622279.11463,2736666515.8294,4414929219.99649,6646663561.2656,7422102655.98832,8638711442.7705,10351932604.4154,9253484108.49701,10657705536.4978,12156380425.0825,12368071038.7362,12949854262.8127,13922223233.5184,10945989471.6286,10090922857.3905,9975692095.40855,11273115239
Chile,GDP (current US$),26040229793,29885685143,33113887818,37834793730,45964327559,49297773130,57008425295.8256,73447063319.3034,78039572221.6024,84952360922.4679,81577430181.4074,75173794497.0321,77860932151.8471,70979923960.3742,69736811435.1032,75643459839.6008,99210392857.6116,122964812046.073,154788024805.808,173605968179.255,179638496278.574,172389498444.621,218537551220.071,252251992029.442,267122320056.702,278384345259.474,260541629960.729,243919085308.785,250339863130.847,277746461078.319,298231133530
China,GDP (current US$),312353631210,347768051310,360857912570,383373318080,426915712710,444731282440,564324670005.917,734547898220.508,863746717503.789,961603952951.82,1029043097554.08,1093997267271.06,1211346869605.24,1339395718865.3,1470550015081.55,1660287965662.68,1955347004963.27,2285965892360.54,2752131773355.16,3550342425238.25,4594306848763.08,5101702432883.45,6087164527421.24,7551500425597.77,8532230724141.76,9570405758739.79,10438529153237.6,11015542352468.9,11137945669350.6,12143491448186.1,13608151865000
Colombia,GDP (current US$),39212550050,39540080200,47844090710,49175565911,58418985443,66446804803,81703500846.0364,92507279383.0387,97160109277.8087,106659508271.255,98443739941.1664,86186158684.7685,99886577330.7271,98211749595.5442,97963003804.7851,94641378693.223,117081522349.677,145180960251.663,161189825603.139,205706860699.301,241710969502.894,232494134119.684,286103648654.545,334454039093.586,370574421703.06,381866608838.8,381112119657.445,293481748240.779,282825009887.458,311789874617.096,331047040090
Comoros,GDP (current US$),356500026.69,341476764.04,429622147.74,424108796.56,457388578.92,452881443.08,319189200.353123,398461789.558686,396053797.633321,364445589.702365,370106776.043329,382454989.945311,350264287.687331,378180913.355762,423962976.722333,545658929.044587,632570092.207793,653584808.745573,697810988.051543,794621676.487681,911967428.713837,901711442.285944,907093130.313521,1021746833.42573,1015901205.42028,1115906341.77727,1148058015.47633,965640593.037584,1012147323.79343,1074778460.9556,1177955048.7
"Congo, Rep.",GDP (current US$),2212536313.3,2389593021.9,2798746050.6,2724853592.7,2933222714.1,1918970032.4,1769365425.04053,2116003977.97529,2540697688.05698,2322718991.26458,1949481296.60762,2353909563.94122,3219910550.39332,2794259783.08097,3019993738.77492,3495868808.0512,4648628921.36969,6087003176.11624,7731261310.93322,8394688284.06224,11859013280.9951,9593537550.75063,12007880438.6232,14425607179.6639,13677930123.5919,14085851348.069,14177437982.2619,8553154580.39951,9035848070.90357,8701334800.21976,11263682694
