iso_o,iso_d,dist
AGO,UZB,7977.375
AGO,VCT,8587.411
AGO,VEN,9137.924
AGO,VGB,9066.944
AGO,VNM,10637.65
AGO,VUT,15999.4
AGO,WLF,17358.19
AGO,WSM,16571.79
AGO,YEM,4352.742
AGO,YUG,6017.293
AGO,ZAF,2844.23
AGO,ZAR,553.1064
AGO,ZMB,1791.822
AGO,ZWE,2170.012
AIA,ABW,983.2682
AIA,AFG,12292.16
AIA,AGO,8901.464
AIA,AIA,3.79869
AIA,ALB,8108.476
AIA,AND,6589.531
AIA,ANT,927.4568
AIA,ARE,11757.2
AIA,ARG,5905.684
AIA,ARM,10127.37
AIA,ATG,177.8854
AIA,AUS,16217.81
AIA,AUT,7742.359
AIA,AZE,10525.91
AIA,BDI,10385.66
AIA,BEL,6876.788
AIA,BEN,7217.354
AIA,BFA,6596.8
AIA,BGD,14548.35
AIA,BGR,8365.194
AIA,BHR,11330.65
AIA,BHS,1660.373
AIA,BIH,7954.177
AIA,BLR,8426.104
AIA,BLZ,2728.327
AIA,BMU,1577.063
AIA,BOL,3904.127
AIA,BRA,4977.742
AIA,BRB,678.8924
AIA,BRN,17448.25
AIA,BTN,14158.53
AIA,BWA,10755.58
AIA,CAF,8986.486
AIA,CAN,3217.205
AIA,CCK,17786.57
AIA,CHE,7076.804
AIA,CHL,5812.355
AIA,CHN,13563.45
AIA,CIV,6564.114
AIA,CMR,8254.07
AIA,COG,8933.88
AIA,COK,11407.72
AIA,COL,1997.527
AIA,COM,12126.61
AIA,CPV,4229.038
AIA,CRI,2442.21
AIA,CUB,2085.536
AIA,CXR,18545.94
AIA,CYM,1933.212
AIA,CYP,9421.874
AIA,CZE,7588.314
AIA,DEU,7065.73
AIA,DJI,11281.44
AIA,DMA,370.8826
AIA,DNK,7455.702
AIA,DOM,710.1719
AIA,DZA,6708.63
AIA,ECU,2658.563
AIA,EGY,9412.407
AIA,ERI,10700.66
AIA,ESH,5184.992
AIA,ESP,6138.721
AIA,EST,8157.063
AIA,ETH,10940.08
AIA,FIN,8160.294
AIA,FJI,13566.02
AIA,FLK,7798.218
AIA,FRA,6710.57
AIA,FRO,6504.594
AIA,FSM,14704.03
AIA,GAB,8154.083
AIA,GBR,6574.204
AIA,GEO,10078.81
AIA,GHA,6953.366
AIA,GIB,5960.349
AIA,GIN,5192.66
AIA,GLP,284.5707
AIA,GMB,4985.465
AIA,GNB,5131.831
AIA,GNQ,7970.402
AIA,GRC,8509.137
AIA,GRD,699.3012
AIA,GRL,5187.219
AIA,GTM,2954.631
AIA,GUF,1883.692
AIA,GUY,1380.743
AIA,HKG,15517.92
AIA,HND,2622.046
AIA,HRV,7736.063
AIA,HTI,979.3344
AIA,HUN,7949.861
AIA,IDN,18292.94
AIA,IND,13294.82
AIA,IRL,6217.235
AIA,IRN,10898.14
AIA,IRQ,10443.62
AIA,ISL,5965.551
AIA,ISR,9657.363
AIA,ITA,7496.875
AIA,JAM,1452.869
AIA,JOR,9765.969
AIA,JPN,13571.93
AIA,KAZ,12066.74
AIA,KEN,11108.07
AIA,KGZ,11970.53
AIA,KHM,16464.18
AIA,KIR,13507.8
