source,target,dist
ARG,NOR,12270.74
ARG,NPL,16522.17
ARG,NZL,9729.112
ARG,OMN,13896.67
ARG,PAK,15622.21
ARG,PAN,5334.829
ARG,PER,3133.925
ARG,PHL,17801.66
ARG,PLW,16713.68
ARG,PNG,14425.68
ARG,POL,12351.58
ARG,PRT,9621.854
ARG,PRY,1051.13
ARG,QAT,13337.25
ARG,RUS,13505.36
ARG,RWA,9763.369
ARG,SAU,12880.18
ARG,SEN,6994.295
ARG,SGP,15891.11
ARG,SLE,6759.124
ARG,SLV,6280.052
ARG,STP,7785.758
ARG,SUR,4524.356
ARG,SVK,11879.9
ARG,SVN,11580.75
ARG,SWE,12585.03
ARG,SWZ,8359.226
ARG,SYC,11873.59
ARG,TCD,9322.412
ARG,TGO,7739.364
ARG,THA,16890.18
ARG,TJK,15376.08
ARG,TKM,14471.17
ARG,TON,10911.55
ARG,TTO,5051.895
ARG,TUN,10668.78
ARG,TUR,12268.67
ARG,TZA,10291.12
ARG,UGA,10137.2
ARG,UKR,12845.99
ARG,URY,215.0746
ARG,USA,8542.694
ARG,UZB,15457.45
ARG,VCT,5335.351
ARG,VNM,17877.15
ARG,WSM,12468.65
ARG,YEM,12133.34
ARG,ZAF,6886.516
ARG,ZMB,8756.319
ARG,ZWE,8860.55
ARM,AFG,2266.15
ARM,AGO,6331.346
ARM,ALB,2077.855
ARM,ARE,1979.161
ARM,ARG,13417.64
ARM,ARM,64.92948
ARM,ATG,10114.07
ARM,AUS,13666.9
ARM,AUT,2399.432
ARM,AZE,457.5143
ARM,BDI,5088.729
ARM,BEL,3299.886
ARM,BEN,5618.886
ARM,BFA,5464.988
ARM,BGD,4642.789
ARM,BGR,1785.844
ARM,BHR,1656.715
ARM,BHS,10600.74
ARM,BIH,2184.283
ARM,BLR,1983.94
ARM,BOL,13105.0
ARM,BRA,11769.69
ARM,BRN,8007.059
ARM,BTN,4360.26
ARM,BWA,7479.425
ARM,CAF,4754.974
ARM,CAN,9139.136
ARM,CHE,3051.854
ARM,CHL,14338.96
ARM,CHN,5947.15
ARM,CIV,6198.215
ARM,CMR,5224.684
ARM,COG,5776.592
ARM,COL,12118.5
ARM,COM,5772.269
ARM,CRI,12346.34
ARM,CYP,1129.579
ARM,CZE,2582.411
ARM,DEU,3126.056
ARM,DMA,10217.3
ARM,DNK,2897.109
ARM,DOM,10612.22
ARM,DZA,3600.677
ARM,ECU,12772.0
ARM,EGY,1647.892
ARM,ESP,4040.452
ARM,EST,2546.553
ARM,ETH,3510.324
ARM,FIN,2597.746
ARM,FJI,15001.08
ARM,FRA,3434.071
ARM,GAB,5674.918
ARM,GBR,3619.365
ARM,GEO,172.7219
ARM,GHA,5893.944
ARM,GIN,6817.399
ARM,GMB,6613.235
ARM,GNB,6642.441
ARM,GNQ,5409.321
ARM,GRC,1806.064
ARM,GRD,10489.04
ARM,GTM,12364.26
ARM,GUY,10593.76
ARM,HND,12203.89
ARM,HRV,2391.389
ARM,HTI,10794.76
ARM,HUN,2186.893
ARM,IDN,8175.623
ARM,IND,3245.064
ARM,IRL,4037.116
ARM,IRN,789.0012
ARM,IRQ,762.4228
ARM,ISL,4948.93
ARM,ISR,1254.709
ARM,ITA,2677.67
ARM,JAM,11161.47
ARM,JOR,1196.113
ARM,JPN,7943.638
ARM,KAZ,2700.251
ARM,KEN,4680.579
ARM,KGZ,2512.077
ARM,KHM,6684.962
ARM,KIR,13075.43
ARM,KNA,10171.4
ARM,KOR,6882.943
ARM,KWT,1248.981
ARM,LAO,6049.0
ARM,LBN,1063.763
ARM,LBR,6649.885
ARM,LBY,2911.988
ARM,LCA,10282.29
ARM,LKA,5106.343
ARM,LSO,7932.732
ARM,LTU,2151.497
ARM,LUX,3160.368
ARM,LVA,2376.555
ARM,MAR,4545.386
ARM,MDA,1469.285
ARM,MDG,6579.582
ARM,MDV,4950.312
ARM,MEX,12406.08
ARM,MKD,1936.723
ARM,MLI,5949.743
ARM,MLT,2656.562
ARM,MMR,5588.3
ARM,MNG,4924.905
ARM,MOZ,7465.288
ARM,MRT,6235.412
ARM,MUS,6850.985
ARM,MWI,6127.386
ARM,MYS,7051.041
ARM,NAM,7539.966
ARM,NER,5078.042
ARM,NGA,5545.438
ARM,NIC,12316.62
ARM,NLD,3282.178
ARM,NOR,3199.743
ARM,NPL,3975.874
ARM,NZL,15974.44
ARM,OMN,2270.178
ARM,PAK,2635.964
ARM,PAN,12105.08
ARM,PER,13549.98
ARM,PHL,7832.967
ARM,PLW,9489.721
ARM,PNG,11767.51
ARM,POL,2236.784
ARM,PRT,4540.028
ARM,PRY,12787.09
ARM,QAT,1786.216
ARM,RUS,1803.035
ARM,RWA,4912.365
ARM,SAU,1741.738
ARM,SEN,6599.537
ARM,SGP,7366.046
ARM,SLE,6691.235
ARM,SLV,12366.14
ARM,STP,5864.971
ARM,SUR,10415.96
ARM,SVK,2340.185
ARM,SVN,2506.938
ARM,SWE,2817.471
ARM,SWZ,7531.662
ARM,SYC,5112.657
ARM,TCD,4251.364
ARM,TGO,5724.177
ARM,THA,6163.356
ARM,TJK,2094.471
ARM,TKM,1223.83
ARM,TON,15729.9
ARM,TTO,10579.57
ARM,TUN,2990.33
ARM,TUR,1315.561
ARM,TZA,5261.924
ARM,UGA,4596.694
ARM,UKR,1575.587
ARM,URY,13248.01
ARM,USA,9088.867
ARM,UZB,2081.25
ARM,VCT,10363.68
ARM,VNM,6124.733
ARM,WSM,14144.44
ARM,YEM,2758.486
ARM,ZAF,8671.851
ARM,ZMB,6417.901
ARM,ZWE,6606.1
ATG,AFG,12297.09
ATG,AGO,8746.965
ATG,ALB,8082.156
ATG,ARE,11712.02
ATG,ARG,5776.082
ATG,ARM,10114.07
ATG,ATG,7.907605
ATG,AUS,16255.91
ATG,AUT,7737.498
ATG,AZE,10518.72
ATG,BDI,10249.4
ATG,BEL,6881.374
ATG,BEN,7083.734
ATG,BFA,6474.614
ATG,BGD,14576.48
ATG,BGR,8344.458
ATG,BHR,11285.37
ATG,BHS,1834.379
ATG,BIH,7935.534
ATG,BLR,8442.194
ATG,BOL,3807.266
ATG,BRA,4818.193
ATG,BRN,17552.78
ATG,BTN,14193.42
ATG,BWA,10586.92
ATG,CAF,8858.907
ATG,CAN,3382.002
ATG,CHE,7067.338
ATG,CHL,5713.025
ATG,CHN,13681.69
ATG,CIV,6423.863
ATG,CMR,8120.839
ATG,COG,8787.793
ATG,COL,2004.484
ATG,COM,11982.51
ATG,CRI,2531.254
ATG,CYP,9384.479
ATG,CZE,7589.502
ATG,DEU,7071.959
ATG,DMA,209.6386
ATG,DNK,7475.542
ATG,DOM,855.9273
ATG,DZA,6664.19
ATG,ECU,2659.824
ATG,EGY,9358.75
ATG,ESP,6108.097
ATG,EST,8189.957
ATG,ETH,10837.61
ATG,FIN,8195.498
ATG,FJI,13672.27
ATG,FRA,6708.77
ATG,GAB,8012.726
ATG,GBR,6582.637
ATG,GEO,10070.14
ATG,GHA,6816.111
ATG,GIN,5054.176
