country_iso3,inflation_rate,landlocked,gdp_per_capita,area,merchandise_of_gdp,net_barter_of_trade,industry_of_gdp,agriculture_forestry_fishing_of_gdp,gdp_growth,foreign_direct_investment_inflows,langoff_1,gdp_us_dollar,continent,population
IND,4.906973441,0,1605.605445,3287590,31.4739416,104.2283051,27.34739148,16.17450811,7.996253444,44009492130.0,English,2103587817042.0,Asia,1310152392.0
IRL,-0.289879079,0,62000.11881,70285,68.72142541,96.68188659,38.37551997,0.8954320749,25.1625331,237060224929.0,English,291499812215.0,Europe,4701957.0
IRN,12.48468156,0,4904.327315,1648100,29.92896666,139.2929122,32.96959372,10.48470358,-1.32064512,2050000000.0,Persian,384951479697.0,Asia,78492208.0
IRQ,1.393330288,0,4688.318017,437072,69.61152437,122.7965236,45.34028882,4.191868175,2.477664617,-7574200000.0,Arabic,177498577313.0,Asia,35572269.0
ISL,1.633055582,0,52951.68151,102819,57.26368356,94.6832755,20.23634735,5.31069137,4.748984972,1145767445.0,Icelandic,17389101639.0,Europe,330815.0
ISR,-0.6343906511,0,35813.71341,21621,42.02550629,112.0266127,20.16533233,1.191712519,2.290092133,11336200000.0,Hebrew,299813121135.0,Asia,8380100.0
ITA,0.03879039966,0,30230.2263,301323,47.27432652,102.698258,20.85638428,2.065236762,0.7783043507,13303439230.0,Italian,1835899237320.0,Europe,60730582.0
JAM,3.691542289,0,4907.927415,10991,44.09069167,85.65263977,19.26603791,6.308335899,0.9226821403,924977863.7,English,14187696311.0,America,2891024.0
JOR,-0.8768513597,0,4164.108769,91862,73.3614608,79.28900117,25.23280589,4.392268659,2.496528695,1600281690.0,Arabic,38587017944.0,Asia,9266573.0
JPN,0.7895178901,0,34524.46986,377801,29.00205194,66.66666667,29.01962246,1.113905411,1.222921041,5252218412.0,Japanese,4389475622589.0,Asia,127141000.0
KAZ,6.665776115,1,10510.77189,2717300,41.50151889,150.8364068,30.85478739,4.710547419,1.2,6577824050.0,Kazakh,184388432149.0,Asia,17542806.0
KEN,6.582174403,0,1336.883265,582646,34.3692755,102.7721788,17.30079584,30.19240888,5.718507131,619719962.3,English,64007750169.0,Africa,47878339.0
KGZ,6.50331839,1,1121.082835,198500,82.52250418,121.3890289,25.07806232,14.06076433,3.875825443,1144054000.0,Kyrgyz,6678178340.0,Asia,5956900.0
